"","Elevation","SlopeDEM","TAspectD","TCI","xDepth","sDepth","pH","Acidity","Ca","K","Mg","P","C","N","C.N","ECEC","BS","Clay","Silt","Sand"
"Elevation",1,0.379360435736624,-0.424662002767239,-0.281377076319886,-0.0891224737988466,-0.039946820958075,-0.199086767723662,0.515494521219402,-0.120659481008413,0.0723264702239258,-0.197952969030124,-0.28373156046446,0.583160848499477,0.578688835899714,-0.00626422726517522,0.351439920598762,-0.382484998475098,-0.306126034486889,0.428994442075398,-0.2355410718068
"SlopeDEM",0.379360435736624,1,-0.196030798391534,-0.429575106433807,0.191830475422389,0.0645515275722112,0.194530582714635,-0.000442301990339764,0.0590814151566712,0.0357891661121571,0.0831238257734885,-0.259031630921644,0.118524877359935,0.168353583044257,-0.110797108976655,0.0448350512139443,0.036396047052477,-0.176084680572464,0.137237026700247,-0.0316867428955699
"TAspectD",-0.424662002767239,-0.196030798391534,1,0.128580197676647,-0.103356608799207,0.156456148283258,0.190145491330951,-0.346990634973303,0.170135136060418,0.0855679517893937,0.203438585545318,0.215616329014693,-0.242748796742999,-0.283920898384135,0.105954927169174,-0.17256729112724,0.381993328341268,-0.125491957035942,-0.352142712517206,0.403847151476304
"TCI",-0.281377076319886,-0.429575106433807,0.128580197676647,1,0.10392898352936,0.0730723978427738,-0.191775161150201,0.120035933733548,-0.115615071383258,0.0259705225121499,-0.022981896179728,0.18420694250315,-0.00580552701424465,-0.0495324256028958,0.0111114703886473,0.0454692245671908,-0.104659367601571,0.144748156936711,0.0548941742149877,-0.132894241074734
"xDepth",-0.0891224737988466,0.191830475422389,-0.103356608799207,0.10392898352936,1,-0.0267693537752619,0.0370836677031332,-0.189647750746916,-0.304407724619953,-0.462044297424123,-0.330001771113022,-0.248301634662963,-0.325781572722908,-0.353709218631242,0.0786333311634171,-0.396748138423012,-0.203369668955928,0.299675335672914,-0.175136958248963,-0.00144320199900902
"sDepth",-0.039946820958075,0.0645515275722112,0.156456148283258,0.0730723978427738,-0.0267693537752619,1,0.0903531458219474,0.0575557995766375,0.115668597241016,0.188639915968109,0.303408828161704,0.16876944251877,0.108103448550176,0.0888411815659759,-0.0186495397466486,0.171278422863754,0.126326639389583,-0.159441913620635,0.0278925514492682,0.0626440709114338
"pH",-0.199086767723662,0.194530582714635,0.190145491330951,-0.191775161150201,0.0370836677031332,0.0903531458219474,1,-0.639197277214226,0.597390633009728,0.226451641288385,0.369977937787719,-0.0246278572568007,-0.179969270698399,0.0928309545276715,-0.620778268001281,-0.181210598065524,0.752153000658065,-0.313767283147486,0.117644057327141,0.0638039854935238
"Acidity",0.515494521219402,-0.000442301990339764,-0.346990634973303,0.120035933733548,-0.189647750746916,0.0575557995766375,-0.639197277214226,1,-0.264411935043974,0.316071308372974,0.0298294728371451,-0.11657067395919,0.706166850339599,0.529762635705193,0.169773253094586,0.754631270685643,-0.569823363711242,-0.0298872916090483,0.472374786674794,-0.430985782145359
"Ca",-0.120659481008413,0.0590814151566712,0.170135136060418,-0.115615071383258,-0.304407724619953,0.115668597241016,0.597390633009728,-0.264411935043974,1,0.576051878430637,0.731379494603484,0.146822055754335,0.212784721154186,0.345693439062656,-0.339591626575024,0.41614042995673,0.790484610440621,-0.415189141648545,0.117064147720015,0.121016980124627
"K",0.0723264702239258,0.0357891661121571,0.0855679517893937,0.0259705225121499,-0.462044297424123,0.188639915968109,0.226451641288385,0.316071308372974,0.576051878430637,1,0.811725839851417,0.17022695573568,0.649079379156652,0.681607181860645,-0.314937541847891,0.756754500303338,0.512293141717278,-0.422294358745096,0.472248278428661,-0.211631865709769
"Mg",-0.197952969030124,0.0831238257734885,0.203438585545318,-0.022981896179728,-0.330001771113022,0.303408828161704,0.369977937787719,0.0298294728371451,0.731379494603484,0.811725839851417,1,0.248252232763828,0.375669178540201,0.407757876231577,-0.317730256584759,0.606334421574228,0.731992269050489,-0.42082593291611,0.167767274261758,0.0761133822824951
"P",-0.28373156046446,-0.259031630921644,0.215616329014693,0.18420694250315,-0.248301634662963,0.16876944251877,-0.0246278572568007,-0.11657067395919,0.146822055754335,0.17022695573568,0.248252232763828,1,-0.0626888883097936,-0.0952570483458936,0.0452680284913926,0.0270372628838575,0.205988867523261,-0.0664298310321444,-0.203297642092472,0.229784878166991
"C",0.583160848499477,0.118524877359935,-0.242748796742999,-0.00580552701424465,-0.325781572722908,0.108103448550176,-0.179969270698399,0.706166850339599,0.212784721154186,0.649079379156652,0.375669178540201,-0.0626888883097936,1,0.914453445067169,-0.0029198010592349,0.814563712580495,-0.0522197805364746,-0.50134750632323,0.552840542436481,-0.243845331567142
"N",0.578688835899714,0.168353583044257,-0.283920898384135,-0.0495324256028958,-0.353709218631242,0.0888411815659759,0.0928309545276715,0.529762635705193,0.345693439062656,0.681607181860645,0.407757876231577,-0.0952570483458936,0.914453445067169,1,-0.350078885766286,0.734817362675652,0.106972627506206,-0.568630962689246,0.675310566138307,-0.322323169790976
"C:N",-0.00626422726517522,-0.110797108976655,0.105954927169174,0.0111114703886473,0.0786333311634171,-0.0186495397466486,-0.620778268001281,0.169773253094586,-0.339591626575024,-0.314937541847891,-0.317730256584759,0.0452680284913926,-0.0029198010592349,-0.350078885766286,1,-0.0942693640861915,-0.407379854568118,0.227631391482351,-0.437191923965236,0.287164212648739
"ECEC",0.351439920598762,0.0448350512139443,-0.17256729112724,0.0454692245671908,-0.396748138423012,0.171278422863754,-0.181210598065524,0.754631270685643,0.41614042995673,0.756754500303338,0.606334421574228,0.0270372628838575,0.814563712580495,0.734817362675652,-0.0942693640861915,1,0.0542178152093562,-0.326398488245498,0.520415153007107,-0.310857132374265
"BS",-0.382484998475098,0.036396047052477,0.381993328341268,-0.104659367601571,-0.203369668955928,0.126326639389583,0.752153000658065,-0.569823363711242,0.790484610440621,0.512293141717278,0.731992269050489,0.205988867523261,-0.0522197805364746,0.106972627506206,-0.407379854568118,0.0542178152093562,1,-0.377385874468571,-0.0688834438251296,0.276124693529817
"Clay",-0.306126034486889,-0.176084680572464,-0.125491957035942,0.144748156936711,0.299675335672914,-0.159441913620635,-0.313767283147486,-0.0298872916090483,-0.415189141648545,-0.422294358745096,-0.42082593291611,-0.0664298310321444,-0.50134750632323,-0.568630962689246,0.227631391482351,-0.326398488245498,-0.377385874468571,1,-0.198612871350788,-0.370458961988316
"Silt",0.428994442075398,0.137237026700247,-0.352142712517206,0.0548941742149877,-0.175136958248963,0.0278925514492682,0.117644057327141,0.472374786674794,0.117064147720015,0.472248278428661,0.167767274261758,-0.203297642092472,0.552840542436481,0.675310566138307,-0.437191923965236,0.520415153007107,-0.0688834438251296,-0.198612871350788,1,-0.836766409476622
"Sand",-0.2355410718068,-0.0316867428955699,0.403847151476304,-0.132894241074734,-0.00144320199900902,0.0626440709114338,0.0638039854935238,-0.430985782145359,0.121016980124627,-0.211631865709769,0.0761133822824951,0.229784878166991,-0.243845331567142,-0.322323169790976,0.287164212648739,-0.310857132374265,0.276124693529817,-0.370458961988316,-0.836766409476622,1
